Class,Pos,No.,Competitor,Total Points,Leg 1,Leg 2,Leg 3,Leg 4
F1 SIDECAR,1,26,Patrick Clancy /  Stephen Bonney,75,25,25,25,0
F1 SIDECAR,2,111,Keith Hoare/ Louise Blythe,60,20,20,20,0
F1 SIDECAR,3,52,Corey Turner /  Danyon Turner,0,0,0,0,0
F1 SIDECAR,4,22,Stacey Sellar /  Warren Grubb,0,0,0,0,0
F2 SIDECAR,1,103,Royce Rowe /  Leonard Rowe,70,25,20,25,0
F2 SIDECAR,2,54,Michael Alton /  David Rumble,65,20,25,20,0
F2 SIDECAR,3,12,Hugh Briotti /  Stephanie Bowater,54,18,18,18,0
FORMULA STG,1,87,William Course,100,25,25,25,25
FORMULA STG,2,71,Tim Walker,80,20,20,20,20
FORMULA STG,3,121,Jeremy Archer,67,14,17,18,18
FORMULA STG,4,56,Travis Hanly,67,17,16,17,17
FORMULA STG,5,66,Troy Cook,59,13,14,16,16
FORMULA STG,6,88,Geordie Flett,36,18,18,0,0
FORMULA STG,7,81,Max Jordan,30,15,15,0,0
FORMULA STG,8,63,Mitchell Cartwright,16,16,0,0,0
PRE2K SUPERBIKE,1,37,Michael Edwards,100,25,25,25,25
PRE2K SUPERBIKE,2,171,Damion Davis,80,20,20,20,20
PRE2K SUPERBIKE,3,82,Russell Coutts,71,17,18,18,18
PRE2K SUPERBIKE,4,134,Mark Rodda,67,18,16,17,16
PRE2K SUPERBIKE,5,131,Paul Rigney,66,16,17,16,17
PRE2K SUPERBIKE,6,176,Damien Coppola,59,15,14,15,15
PRE2K SUPERBIKE,7,51,Justin Champion,43,14,15,14,0
PRE2K SUPERBIKE,8,16,Dave Wilson,0,0,0,0,0
PRE2K SUPERSPORT,1,16,Jeff Duke,100,25,25,25,25
PRE2K SUPERSPORT,2,850,Richard (Kim) Stallard,80,20,20,20,20
PREMODERN SUPERBIKE,1,27,Joseph Salter,100,25,25,25,25
PREMODERN SUPERBIKE,2,840,Ash Edwards,80,20,20,20,20
PREMODERN SUPERBIKE,3,85,Brock Paterson,72,18,18,18,18
PREMODERN SUPERBIKE,4,97,Nathan Cosgrove,68,17,17,17,17
PREMODERN SUPERBIKE,5,367,Glen Kieseker,63,15,16,16,16
PREMODERN SUPERBIKE,6,74,Shane Cosgrove,46,16,15,15,0
PREMODERN SUPERBIKE,7,466,Grant Lane,14,14,0,0,0
PREMODERN SUPERSPORT,1,27,Ned Cain,100,25,25,25,25
PREMODERN SUPERSPORT,2,383,Austin Chambers,74,18,20,18,18
PREMODERN SUPERSPORT,3,834,Connor Meechan,72,20,18,20,14
PREMODERN SUPERSPORT,4,13,Dion Noon,70,16,17,17,20
PREMODERN SUPERSPORT,5,2,Liam Mckillop,60,17,12,16,15
PREMODERN SUPERSPORT,6,23,Ben Duncan,53,10,13,14,16
PREMODERN SUPERSPORT,7,616,Jeffrey Wilson,49,15,11,11,12
PREMODERN SUPERSPORT,8,41,Michael Cramp,45,0,15,13,17
PREMODERN SUPERSPORT,9,6,Jonathan Bothamley,43,14,8,10,11
PREMODERN SUPERSPORT,10,42,Aidan Steinhardt,42,13,10,9,10
PREMODERN SUPERSPORT,11,808,Jack Muller,39,0,14,12,13
PREMODERN SUPERSPORT,12,14,James Mitchell,37,12,9,7,9
PREMODERN SUPERSPORT,13,3,Andy Murphy,31,0,16,15,0
PREMODERN SUPERSPORT,14,367,Glen Kieseker,19,11,0,8,0
QJC,1,77,Connor Lewis,100,25,25,25,25
QJC,2,43,Ethan Pelgrave,80,20,20,20,20
QJC,3,10,Thomas Zuccolotto,70,18,18,16,18
QJC,4,18,Owen Todd,67,17,16,17,17
QJC,5,29,Kael Brien,67,16,17,18,16
QJC,6,82,Harry Yanko,60,15,15,15,15
QJC,7,75,Griffin Reason,42,14,14,14,0
QJC,8,7,Lachlan Mcauliffe,40,0,13,13,14
QJC,9,23,Emily Moore,37,0,12,12,13
SPORTIES SUPERBIKE,1,25,Steve Dougherty,92,25,25,25,17
SPORTIES SUPERBIKE,2,888,Daniel Reid,81,18,18,20,25
SPORTIES SUPERBIKE,3,75,Joe Sambono,78,20,20,18,20
SPORTIES SUPERBIKE,4,12,Owen Baker,64,17,17,14,16
SPORTIES SUPERBIKE,5,21,Lachlan Carter,60,9,16,17,18
SPORTIES SUPERBIKE,6,73,Malcolm Scott,48,11,12,12,13
SPORTIES SUPERBIKE,7,24,Peter Kay,47,16,15,16,0
SPORTIES SUPERBIKE,8,31,Andy Murphy,44,15,14,0,15
SPORTIES SUPERBIKE,9,250,Glen Kerr,42,14,13,15,0
SPORTIES SUPERBIKE,10,46,Steven Lange,39,12,0,13,14
SPORTIES SUPERBIKE,11,54,Chris Lang,21,10,11,0,0
SPORTIES SUPERBIKE,12,35,Michael Daley,13,13,0,0,0
SPORTIES SUPERSPORT,1,834,Connor Meechan,90,25,25,20,20
SPORTIES SUPERSPORT,2,2,Liam Mckillop,86,20,16,25,25
SPORTIES SUPERSPORT,3,8,Christopher Campbell,74,18,20,18,18
SPORTIES SUPERSPORT,4,3,Shane Quelch,67,17,17,17,16
SPORTIES SUPERSPORT,5,164,Allen Diver0Tuck,51,16,18,0,17
SPORTIES SUPERSPORT 300,1,9,Goncalo Reis Da Silva,90,20,25,20,25
SPORTIES SUPERSPORT 300,2,30,James Robinson,74,18,20,18,18
SPORTIES SUPERSPORT 300,3,77,Myles Scarff,70,25,0,25,20
SPORTIES SUPERSPORT 300,4,14,Henry Clark,68,17,17,17,17
SPORTIES SUPERSPORT 300,5,281,Lisa Campbell,61,16,16,14,15
SPORTIES SUPERSPORT 300,6,56,Travis Hanly,53,14,14,12,13
SPORTIES SUPERSPORT 300,7,12,Luke Falconer,51,15,13,13,10
SPORTIES SUPERSPORT 300,8,214,Ollie Hockey,50,0,18,16,16
SPORTIES SUPERSPORT 300,9,18,Brendan Organ,45,13,11,10,11
SPORTIES SUPERSPORT 300,10,901,Dale Henderson,44,0,15,15,14
SPORTIES SUPERSPORT 300,11,10,Clark Gaddes,35,0,12,11,12
SPORTIES SUPERSPORT 300,12,582,Julian Dubray,31,12,10,9,0
SUPERBIKE,1,13,Anthony West,100,25,25,25,25
SUPERBIKE,2,3,Cameron Dunker,80,20,20,20,20
SUPERBIKE,3,61,Arthur Sissis,70,17,17,18,18
SUPERBIKE,4,33,Jack Favelle,70,18,18,17,17
SUPERBIKE,5,37,Michael Edwards,53,12,11,15,15
SUPERBIKE,6,47,Callum Barker,53,13,13,16,11
SUPERBIKE,7,12,Ashley Woolford,49,11,12,14,12
SUPERBIKE,8,73,Eddie Leeson,45,14,15,0,16
SUPERBIKE,9,57,James Morris,44,10,9,11,14
SUPERBIKE,10,18,Luca Durning,43,9,8,13,13
SUPERBIKE,11,34,Stephen Wheeler,40,8,10,12,10
SUPERBIKE,12,82,Ryan Yanko,32,16,16,0,0
SUPERBIKE,13,112,Matthew Walters,29,15,14,0,0
SUPERBIKE,14,361,James Robinson,28,7,2,10,9
SUPERBIKE,15,81,Michael O'Keeffe,24,4,7,5,8
SUPERBIKE,16,59,William Jordan,23,6,4,7,6
SUPERBIKE,17,193,Kiri Welsh,23,5,5,9,4
SUPERBIKE,18,187,Jason Cleland,21,0,6,8,7
SUPERBIKE,19,10,Peter Watts,17,3,3,6,5
SUPERBIKE,20,85,Brock Paterson,7,2,1,4,0
SUPERBIKE,21,36,Murray Clark,0,0,0,0,0
SUPERBIKE,22,466,Grant Lane,0,0,0,0,0
SUPERMOTARD,1,24,Peter Kay,100,25,25,25,25
SUPERSPORT,1,37,Jack Mahaffy,95,25,25,20,25
SUPERSPORT,2,17,Joshua Newman,83,20,20,25,18
SUPERSPORT,3,52,Corey Turner,71,18,18,15,20
SUPERSPORT,4,13,Marcus Hamod,67,17,15,18,17
SUPERSPORT,5,574,John Pelgrave,66,16,17,17,16
SUPERSPORT,6,199,Marty Kracht,53,6,16,16,15
SUPERSPORT,7,45,Cameron Webster,52,15,14,12,11
SUPERSPORT,8,27,Ned Cain,46,14,6,13,13
SUPERSPORT,9,314,Stefan Petrovic,43,12,9,10,12
SUPERSPORT,10,710,Phil Keable,41,0,13,14,14
SUPERSPORT,11,23,Karl Morgan,41,11,11,11,8
SUPERSPORT,12,440,Mark Ford,40,13,10,7,10
SUPERSPORT,13,55,Oscar Davison,38,9,12,8,9
SUPERSPORT,14,91,Reece Murphy,27,8,7,5,7
SUPERSPORT,15,78,Scott Schulz,27,10,8,9,0
SUPERSPORT,16,383,Austin Chambers,19,7,0,6,6
SUPERSPORT,17,14,James Mitchell,13,4,5,4,0
SUPERSPORT,18,41,Michael Cramp,5,5,0,0,0
SUPERSPORT 300,1,42,Riley Nauta,82,20,25,20,17
SUPERSPORT 300,2,55,Jake Paige,68,25,0,25,18
SUPERSPORT 300,3,78,Scott Schulz,67,17,17,17,16
SUPERSPORT 300,4,156,Oscar Lewis,64,16,18,10,20
SUPERSPORT 300,5,95,Tara Morrison,63,0,20,18,25
SUPERSPORT 300,6,63,Mitchell Cartwright,63,18,16,15,14
SUPERSPORT 300,7,28,Zane Beckinsale,61,15,15,16,15
SUPERSPORT 300,8,111,Marc Shaw,53,13,13,14,13
SUPERSPORT 300,9,35,Leigh Holmes,51,14,14,13,10
SUPERSPORT 300,10,19,Kiara Vest,48,12,12,12,12
SUPERSPORT 300,11,81,Mark Organ,34,9,7,9,9
SUPERSPORT 300,12,8,Elijah Andrew,34,5,11,11,7
SUPERSPORT 300,13,69,Shelby Turner,32,7,9,8,8
SUPERSPORT 300,14,59,William Jordan,24,10,8,6,0
SUPERSPORT 300,15,108,Jacob Elms,21,4,6,5,6
SUPERSPORT 300,16,83,Alvin Wu,21,11,10,0,0
SUPERSPORT 300,17,89,Sean Popovich,20,6,2,7,5
SUPERSPORT 300,18,222,Geoffrey Taylor,17,8,3,3,3
SUPERSPORT 300,19,88,Tyrone Francis,12,3,5,4,0
SUPERSPORT 300,20,233,Akira Yamada,12,2,4,2,4
SUPERSPORT 300,21,83,Jack Favell,11,0,0,0,11
SUPERSPORT 300,22,171,Jonah Reid,5,1,1,1,2
SUPERSPORT 300,23,90,Brent Barnes,0,0,0,0,0